"1";"Aquitaine";"AQUITAINE";"aquitaine";"1"
"2";"Auvergne";"AUVERGNE";"auvergne";"1"
"3";"Bourgogne";"BOURGOGNE";"bourgogne";"1"
"4";"Bretagne";"BRETAGNE";"bretagne";"1"
"5";"Centre";"CENTRE";"centre";"1"
"6";"Champagne Ardenne";"CHAMPAGNE ARDENNE";"champagne-ardenne";"1"
"7";"Corse";"CORSE";"corse";"1"
"8";"DOM/TOM";"DOM/TOM";"dom-tom";"1"
"9";"Franche Comté";"FRANCHE COMTÉ";"franche-comte";"1"
"10";"Ile de France";"ILE DE FRANCE";"ile-de-france";"1"
"11";"Languedoc Roussillon";"LANGUEDOC ROUSSILLON";"languedoc-roussillon";"1"
"12";"Limousin";"LIMOUSIN";"limousin";"1"
"13";"Lorraine";"LORRAINE";"lorraine";"1"
"14";"Midi Pyrénées";"MIDI PYRÉNÉES";"midi-pyrenees";"1"
"15";"Nord Pas de Calais";"NORD PAS DE CALAIS";"nord-pas-de-calais";"1"
"17";"Haute Normandie ";"HAUTE NORMANDIE ";"haute-normandie-";"1"
"18";"Pays de la Loire";"PAYS DE LA LOIRE";"pays-de-la-loire";"1"
"19";"Picardie";"PICARDIE";"picardie";"1"
"20";"Poitou Charentes";"POITOU CHARENTES";"poitou-charentes";"1"
"21";"Provence Alpes Côte d'azur";"PROVENCE ALPES CÔTE D'AZUR";"provence-alpes-cote-dazur";"1"
"22";"Rhône Alpes";"RHÔNE ALPES";"rhone-alpes";"1"
"23";"Alsace";"ALSACE";"alsace";"1"
"24";"Basse-Normandie";"BASSE-NORMANDIE";"basse-normandie";"1"
